id,name,operating_jurisdiction,last_login,sector
1,Strategic Resources Corp,Australia,2025-03-29 12:01:04.887000+00:00,Waste
2,Global Industries Group,Singapore,2025-03-28 01:04:51.600000+00:00,Construction
3,Advanced Materials Corp,Germany,2025-03-30 21:28:23.296000+00:00,Automotive
4,Advanced Resources Ltd,United Kingdom,2025-03-26 16:07:48.051000+00:00,Banking & Finance
5,Future Resources Solutions,Germany,2025-04-01 12:35:36.998000+00:00,Healthcare
6,Elite Tech Inc,Netherlands,2025-03-27 03:52:58.768000+00:00,Food & Beverage
7,Innovative Innovations International,Netherlands,2025-04-01 20:17:23.652000+00:00,Telecommunications
8,Dynamic Ventures Holdings,Germany,2025-04-01 01:06:26.421000+00:00,Food & Beverage
9,Premier Innovations Enterprises,France,2025-03-27 09:33:14.665000+00:00,Banking & Finance
10,Dynamic Tech International,United States,2025-03-31 13:26:06.652000+00:00,Manufacturing
